GSM136508.CEL.gz,GSM136530.CEL.gz,GSM136517.CEL.gz,GSM136576.CEL.gz,GSM136566.CEL.gz,GSM136574.CEL.gz,GSM136575.CEL.gz,GSM136569.CEL.gz,GSM136568.CEL.gz,GSM136559.CEL.gz,GSM136565.CEL.gz,GSM136573.CEL.gz,GSM136523.CEL.gz,GSM136509.CEL.gz,GSM136727.CEL.gz,GSM136510.CEL.gz,GSM136515.CEL.gz,GSM136522.CEL.gz,GSM136507.CEL.gz,GSM136524.CEL.gz,GSM136514.CEL.gz,GSM136563.CEL.gz,GSM136564.CEL.gz,GSM136572.CEL.gz
6.543954115,6.401469798,6.298943386,6.837898646,6.470689423,6.450220356,6.052853797,6.387026264,6.640583156,6.948473939,6.778464111,6.595414105,6.255549494,6.379983172,6.133068309,6.502051071,6.331567371,6.354293066,6.517538529,6.156754455,6.037871083,6.639091304,6.39333834,6.469793691
7.546707817,7.263547382,7.201699083,7.052761304,6.980206835,7.096195328,6.983827245,7.060557822,7.010452976,6.775048318,7.063689078,6.864693308,7.174768939,7.702532696,7.280780638,7.302208547,7.45650872,7.282858932,7.689281657,7.491967228,7.413132995,7.028731252,6.697239869,7.092345977
5.402622069,5.050546131,5.024917206,5.304312632,5.214149172,5.17373108,5.02288181,5.175133572,5.281784431,5.309193727,5.071375942,5.091403021,5.23716019,5.398616457,5.401875988,5.395087295,5.280534553,4.986950464,5.562001197,5.039387425,5.054133341,5.361297943,5.218936997,5.340271525
7.892543521,7.707753803,7.461885775,7.558130395,7.819012824,7.641136339,7.729266656,7.700608287,7.61551327,7.992303853,7.706135006,7.808485892,7.574813077,7.511478451,7.607460974,7.993731872,7.632946891,7.706585343,7.61255738,7.543666917,7.507112658,7.798196751,7.976375026,7.753479968
3.242779125,3.22280386,3.185604894,3.195363495,3.251914864,3.324934379,3.088540854,3.18401483,3.076939787,3.167413079,3.49203658,3.231536344,3.208303842,3.212050869,3.225123074,3.440186012,3.185090147,3.192435732,3.1073057,3.128268929,3.085953076,3.174793554,3.409031625,3.274032592
7.531753537,7.090270373,7.466017833,7.122145279,7.058973087,6.992395566,7.112384382,7.194791347,6.884312051,7.401552526,7.478986665,7.065354967,7.344407349,7.631689364,7.018478813,7.478819961,7.57759695,7.339535436,7.398595194,7.359039784,7.377371629,7.467240351,7.355222366,6.91040084
4.063019879,4.111616443,4.043129882,4.142184659,4.259453531,4.161316755,4.216220505,4.195343833,4.196990226,4.38301781,4.437171364,4.15008829,4.120819579,4.049538387,4.117132374,4.163054444,4.146493091,4.085822024,4.095758056,4.069063907,4.098612062,4.352710874,4.418834297,4.260919371
3.75341284,3.699491909,3.594588954,3.584690776,3.852448749,3.819416945,3.529042678,3.638008501,3.800896985,3.808406606,3.674005659,3.829684419,3.781472634,3.713515631,3.751868646,3.712877878,3.841132245,3.664357896,3.699290647,3.720608032,3.679599025,3.946583314,3.833072661,3.743356663
2.937270606,2.797982196,2.862101822,2.819958052,2.907151627,2.84025685,3.088970259,2.818777703,2.627309608,3.118060186,2.909352035,2.916369442,2.803639772,2.823717914,2.824155715,2.830635004,2.916120222,2.78458033,2.864517408,2.866733892,2.740975672,3.006637464,2.90354838,2.804327729
5.359876736,5.150625146,5.220576266,5.134046573,5.397550975,5.05394158,5.369157801,5.19560958,5.254606619,5.560191243,5.237274156,5.023151545,5.212521224,5.276950153,5.187526417,5.032807727,5.423041899,5.091718887,5.255398081,5.220854533,5.18811457,5.213479366,5.606066033,5.172077295
6.88346219,6.396969516,6.768265929,6.357357935,6.416747736,6.09178064,6.314528081,6.226535642,6.102443449,6.250685189,6.092931883,6.381688234,6.440830482,6.312490506,6.555473407,6.524809502,6.453052648,6.502914052,6.595415833,6.550921252,6.413403015,6.527417872,6.409547752,6.390711109
5.576306446,5.394663019,5.348560451,5.293663763,5.611937313,5.297793162,5.352108122,5.454332209,5.538978482,5.909267658,5.332024896,5.606214522,5.359654821,5.316527554,5.215909197,5.416583233,5.532970637,5.186846961,5.343843396,5.280009013,5.170661667,5.588834264,5.662305783,5.740344273
7.05679836,6.889072961,6.922239176,7.052264408,7.213416839,6.790357706,7.215073323,7.116529438,6.868990297,7.301666152,7.201569193,7.037297055,6.985196274,7.245763727,7.136014116,7.337343258,7.052198134,6.961395314,7.161288255,7.047600736,6.864771252,7.106856835,7.28369564,6.858976704
6.057995885,5.558864674,5.744167597,6.089021469,6.075799847,5.662214156,6.120792065,5.88130686,5.754402872,6.060949198,6.062315172,5.922884726,5.785419606,5.975336482,5.930087591,5.996583293,5.89768984,5.752843684,6.027879858,5.66819891,5.835433911,6.19004403,6.190805824,5.855855757
7.357487291,7.137628324,7.095205976,7.157788482,7.28875904,7.15956507,7.209232989,7.618614896,7.072143135,7.281775528,7.324887631,7.391861739,7.161949347,7.148518776,7.094608241,7.499450252,7.230085076,7.217579031,7.27940589,7.23757332,7.331223673,7.164302976,7.367029039,7.201311725
4.605321495,4.463569216,4.497411671,4.485344226,4.459048107,4.951102443,4.614844592,4.445553702,4.761521672,4.581840544,4.597626862,5.543133653,4.741901766,4.620307732,4.562754147,4.534214537,4.798601367,4.546426429,4.627628493,5.103313504,5.006284415,4.713060033,5.011480585,5.137978822
5.62488388,5.40305442,5.753735758,5.175406079,5.666016387,5.424017066,5.563078632,5.636322386,5.491821504,5.3526492,5.590078459,5.52063174,5.827769904,5.809912012,5.59176664,5.964705772,5.577073306,5.744839534,5.710707992,5.693020881,4.906623266,5.354140509,5.522703451,5.687642583
6.111906342,5.353575408,5.619619675,4.538386864,4.996878163,4.802120902,4.606145102,5.188804283,5.069479199,4.763878911,4.926304089,4.915420294,5.58496124,5.395308012,5.526920114,5.904192296,6.025558488,5.416815419,5.665209144,5.439573025,4.640187886,5.142700392,4.773255302,5.104551711
9.080581021,9.14711907,9.04409258,8.882115662,9.0906599,8.858038746,8.762919906,9.20352372,8.869815068,9.325078922,9.362006951,9.127779786,9.424927727,9.467140862,9.202107976,9.305274818,8.930679774,9.220775165,9.226899615,9.123468089,9.376750134,9.309623906,9.231042939,9.291982546
9.487466619,9.67565001,9.83189668,9.432233233,9.79815036,9.277597002,9.809512664,9.153375227,9.202253141,9.040875382,9.10258207,9.030139689,9.680439293,9.878609436,10.34142708,9.947776483,9.231990561,9.613517423,9.746252697,9.467800002,9.662496024,9.406540903,9.515936232,9.511768299
12.0154205,11.7266025,11.66919686,11.56478594,11.51669637,11.68480005,11.39139351,11.59613222,11.67078885,11.56247777,11.64995345,11.78640955,11.53122352,11.48703197,11.59018872,11.6691751,11.92621457,11.67517553,11.78865908,11.8123236,11.70520877,11.35082749,11.48028122,11.71367412
12.0079663,11.71424404,11.88412559,11.72701791,11.63406184,11.76416364,11.63367199,11.64164941,11.48678729,11.64775647,11.62158708,11.57456046,11.7576569,11.91285345,11.56386959,11.78620382,12.17830157,11.77659006,11.91501394,11.88975464,11.8953543,11.50859432,11.45715628,11.56192257
10.01336222,10.39661624,10.45685455,10.42971534,10.17978306,10.24112061,10.36928259,10.16135511,10.35464111,10.01222635,10.08326947,10.13937775,10.32594541,9.976872827,10.5122438,10.25459968,10.04719045,10.42260512,10.25276448,10.30066107,10.40765692,9.986466094,9.975299089,10.07665146
9.810830129,9.790829357,9.933277941,9.937133283,9.713382618,9.662561757,9.794177156,9.97236767,9.844141429,9.732568201,9.852688179,9.951005603,9.963248912,9.963059944,10.21775001,9.999939379,9.930736409,9.859093838,10.08520666,9.812641658,9.9397363,9.549361575,9.723566604,10.121331
10.3417159,10.6466222,10.69197996,10.96155283,10.24888503,10.74413534,10.2220579,10.49094489,10.57574113,10.47758063,10.43493274,10.46439877,10.58357621,10.39607109,10.75836602,10.37382797,10.57539982,10.5120335,10.39951963,10.70538535,10.770769,10.38332766,10.31404803,10.25654822
9.964032937,9.872021661,10.05994373,9.849263648,9.619622389,10.07619797,10.13339484,9.854839918,9.927369207,9.732384685,9.811727545,10.01003922,9.802541609,9.959685475,9.966539323,10.05672401,9.995296416,9.816916383,9.717200229,9.955749135,10.10003433,9.764079955,9.970001023,9.96286294
9.383098241,9.44495533,9.387312721,8.008851684,9.915152668,8.853365552,9.457511821,9.486986378,8.839427373,9.294537274,9.888943784,9.094557408,9.47939187,9.697576501,9.655214749,9.506063955,9.157515756,9.389772018,9.661502605,9.261494575,9.517871507,9.613314513,9.548508013,8.773910518
10.1270829,9.969293903,10.06480287,10.69908995,10.08359088,10.46986065,10.3008876,9.995061384,10.5239941,10.09965956,10.14444916,10.03095584,10.07707746,10.35888273,10.29396721,10.26893057,10.15852341,10.15097717,10.49474838,10.2233938,10.4407231,9.787691147,9.968965492,10.05532084
11.37476449,11.20892456,11.33576163,11.2381592,11.19675742,11.10485297,11.08798726,10.92161081,11.08994617,11.0889972,11.30404297,11.2298688,11.33420209,11.43679769,11.48670028,11.40893733,11.3641903,11.34130147,11.47165734,11.38489658,11.45888061,11.01245033,11.05808509,11.21150171
8.244277883,8.807732278,8.799256802,9.152261783,9.008855179,8.743246661,8.968238271,8.724214863,8.938432334,8.57377742,8.80754087,8.763751377,8.979234358,9.013765219,9.235239581,8.77840591,8.229746653,8.959410962,8.706709037,8.729756797,9.051387241,8.969084774,8.98495987,9.035126954
11.94404107,11.89355604,12.04950384,12.19307108,11.80842631,12.03015521,12.09773449,11.97654393,12.07306795,11.90764271,11.92579465,11.95967702,11.94057855,11.91162303,11.95569679,11.88590585,12.02252744,11.96328385,11.90746978,12.15461205,11.95442275,11.80509067,11.91819067,12.11257263
11.69527358,11.68413101,11.66449248,11.46921947,11.21285069,11.54390913,11.33982261,11.37937154,11.55777693,11.42504212,11.39541606,11.65912348,11.61026581,11.40042948,11.64415739,11.52062812,11.7937388,11.56364686,11.67841797,11.64015037,11.56381949,11.15444411,11.27263113,11.58525509
9.228996128,9.668998836,9.506540737,10.0089679,9.370955586,9.676830149,9.618254587,9.417609633,9.755989702,9.545299126,9.615104436,9.392274905,9.479558275,9.476489788,9.415884431,9.355623887,9.38788975,9.744411302,9.298829516,9.64597821,9.671982204,9.296009242,9.230848454,9.13751153
9.05115638,8.938646473,8.94933958,9.393050999,8.774783102,9.499703686,9.284028001,9.192310007,9.16402439,9.09793699,9.107544662,9.110884909,9.06882166,8.804559616,9.289957353,9.087383759,8.774488165,8.89976379,9.045273706,8.836589192,9.269721379,8.813692563,9.027003822,9.048759817
