PROBEID,CHR,CHRLOC,SYMBOL
1007_s_at,chr6,30852327,DDR1
1053_at,chr7,-73645832,RFC2
117_at,chr1,161494036,HSPA6
121_at,chr2,-113973574,PAX8
1255_g_at,chr6,42123144,GUCA1A
1294_at,chr3,-49842638,UBA7
1316_at,chr17,38219068,THRA
1320_at,chr14,-88932122,PTPN21
1431_at,chr10,135340867,CYP2E1
1438_at,chr3,184279587,EPHB3
1487_at,chr11,64073044,ESRRA
1494_f_at,chr19,-41349443,CYP2A6
1598_g_at,chr13,-114523522,GAS6
160020_at,chr14,23305793,MMP14
1729_at,chr16,-67188089,TRADD
177_at,chr3,-171318195,PLD1
1773_at,chr14,65453507,FNTB
1861_at,chr11,-64037300,BAD
200000_s_at,chr17,-1553923,PRPF8
200001_at,chr19,36630918,CAPNS1
200002_at,chr9,-127620158,RPL35
200003_s_at,chr19,55897300,RPL28
200004_at,chr11,-10818593,EIF4G2
200005_at,chr22,-36906897,EIF3D
200006_at,chr1,8021714,PARK7
200007_at,chr15,-40327891,SRP14
200008_s_at,chr10,-5807186,GDI2
200009_at,chr10,-5807186,GDI2
200010_at,chr1,24018269,RPL11
200011_s_at,chr12,-49329992,ARF3
200012_x_at,chr13,27825692,RPL21
200013_at,chr3,-101399934,RPL24
200014_s_at,chr14,-21677296,HNRNPC
200015_s_at,chr2,242254723,SEPT2
200016_x_at,chr12,54674488,HNRNPA1
200017_at,chr2,55459039,RPS27A
200018_at,chr11,-17095939,RPS13
200019_s_at,chr11,-64888099,FAU
200020_at,chr1,11072679,TARDBP
200021_at,chr11,-65622285,CFL1
200022_at,chr19,-49118584,RPL18
200023_s_at,chr11,8008867,EIF3F
200024_at,chr19,58898636,RPS5
200025_s_at,chr17,41150446,RPL27
200026_at,chr4,109541749,RPL34
200027_at,chr18,-55267894,NARS
200028_s_at,chr2,-96850603,STARD7
200029_at,chr17,37356536,RPL19
200030_s_at,chr12,98987403,SLC25A3
200031_s_at,chr19,49999622,RPS11
200032_s_at,chr4,-39455745,RPL9
200033_at,chr17,-62494374,DDX5
200034_s_at,chr12,-112842994,RPL6
200035_at,chr17,-7146906,CTDNEP1
200036_s_at,chr6,35436178,RPL10A
200037_s_at,chr7,26241324,CBX3
200038_s_at,chr18,-47014851,RPL17
200039_s_at,chr1,-36065143,PSMB2
200040_at,chr1,32479491,KHDRBS1
200041_s_at,chr6,-31497996,DDX39B
200042_at,chr22,-32783562,RTCB
200043_at,chr14,-69846840,ERH
200044_at,chr12,-120899471,SRSF9
200045_at,chr6,1832805,ABCF1
200046_at,chr14,-23033807,DAD1
200047_s_at,chr14,100705102,YY1
200048_s_at,chr1,-153946745,JTB
200049_at,chr17,47865981,KAT7
200050_at,chr19,36705504,ZNF146
200051_at,chr11,65729160,SART1
200052_s_at,chr1,-153634264,ILF2
200053_at,chr17,-4862521,SPAG7
200054_at,chr11,-116649276,ZPR1
200055_at,chr11,-6632048,TAF10
200056_s_at,chr2,-68269332,C1D
200057_s_at,chrX,70503042,NONO
200058_s_at,chr2,-96940074,SNRNP200
200059_s_at,chr3,-49396579,RHOA
200060_s_at,chr16,-2303100,RNPS1
200061_s_at,chr10,79793518,RPS24
200062_s_at,chr8,-99053938,RPL30
200063_s_at,chr5,170814708,NPM1
200064_at,chr6,44214849,HSP90AB1
200065_s_at,chr1,228270361,ARF1
200066_at,chr5,140027384,IK
200067_x_at,chr6,-108532717,SNX3
200068_s_at,chr5,179125930,CANX
200069_at,chr12,-108915991,SART3
200070_at,chr2,-220036619,CNPPD1
200071_at,chr10,-112052798,SMNDC1
200072_s_at,chr19,8509803,HNRNPM
200073_s_at,chr4,-83274467,HNRNPD
200074_s_at,chr3,40498830,RPL14
200075_s_at,chr1,228327929,GUK1
200076_s_at,chr19,18668572,KXD1
200077_s_at,chr19,2269520,OAZ1
200078_s_at,chr1,44440602,ATP6V0B
200079_s_at,chr16,-75661622,KARS
200080_s_at,chr1,226250408,H3F3A
200081_s_at,chr9,-19376254,RPS6
200082_s_at,chr2,3622853,RPS7
200083_at,chr17,-20902906,USP22
200084_at,chr11,16760148,C11orf58
200085_s_at,chr16,-2821415,TCEB2
200086_s_at,chr16,85833173,COX4I1
200087_s_at,chr12,124069076,TMED2
200088_x_at,chr9,-130209953,RPL12
200089_s_at,chr15,-66791653,RPL4
200090_at,chr8,42911442,FNTA
200091_s_at,chr11,-118886422,RPS25
200092_s_at,chr5,-40831430,RPL37
200093_s_at,chr5,-130494875,HINT1
200094_s_at,chr19,-3976054,EEF2
200095_x_at,chr6,-34385231,RPS10
200096_s_at,chr5,172410763,ATP6V0E1
200097_s_at,chr9,-86582998,HNRNPK
200098_s_at,chr12,-121746048,ANAPC5
200099_s_at,chr4,152020725,RPS3A
200593_s_at,chr1,-245013602,HNRNPU
200595_s_at,chr10,-120794541,EIF3A
200599_s_at,chr12,104324112,HSP90B1
200600_at,chrX,64887511,MSN
200601_at,chr19,39138267,ACTN4
200602_at,chr21,-27252861,APP
200603_at,chr17,66508110,PRKAR1A
200606_at,chr6,7541870,DSP
200608_s_at,chr8,-117858173,RAD21
200609_s_at,chr4,-10075963,WDR1
200610_s_at,chr2,-232319459,NCL
200612_s_at,chr17,33914282,AP2B1
200613_at,chr3,183892634,AP2M1
200614_at,chr17,57697050,CLTC
200618_at,chr17,37026112,LASP1
200619_at,chr11,65819816,SF3B2
200620_at,chr1,-54497349,TMEM59
200621_at,chr1,-201452658,CSRP1
200623_s_at,chr19,47104512,CALM3
200626_s_at,chr5,138609441,MATR3
200627_at,chr12,-57057125,PTGES3
200629_at,chr14,-100800125,WARS
200631_s_at,chr9,131451509,SET
200632_s_at,chr8,-134249414,NDRG1
200633_at,chr17,16284367,UBB
200634_at,chr17,-4848945,PFN1
200636_s_at,chr1,43996547,PTPRF
200640_at,chr8,-101930804,YWHAZ
200642_at,chr21,33031935,SOD1
200643_at,chr2,-242166682,HDLBP
200644_at,chr1,-32799430,MARCKSL1
200645_at,chr17,-7143738,GABARAP
200649_at,chr19,49403307,NUCB1
200650_s_at,chr11,18415936,LDHA
200651_at,chr5,-180663928,GNB2L1
200652_at,chr1,-155978839,SSR2
200655_s_at,chr14,90863327,CALM1
200656_s_at,chr17,-79801034,P4HB
200657_at,chrX,118602363,SLC25A5
200658_s_at,chr17,-47481420,PHB
200660_at,chr1,-152004982,S100A11
200661_at,chr20,44519591,CTSA
200662_s_at,chr1,-235272658,TOMM20
200663_at,chr12,-56119227,CD63
200665_s_at,chr5,-151040657,SPARC
200666_s_at,chr19,-14625582,DNAJB1
200668_s_at,chr4,-103717133,UBE2D3
200670_at,chr22,-29190548,XBP1
200673_at,chr2,-20232411,LAPTM4A
200674_s_at,chr3,-12876444,RPL32
200675_at,chr11,2398547,CD81
200677_at,chr21,-46269500,PTTG1IP
200679_x_at,chr13,-31032879,HMGB1
200681_at,chr6,-38643702,GLO1
200682_s_at,chr22,21921836,UBE2L3
200686_s_at,chr1,70671365,SRSF11
200687_s_at,chr16,70557691,SF3B3
200691_s_at,chr5,-137890571,HSPA9
200694_s_at,chr14,-94517268,DDX24
200695_at,chr19,52693055,PPP2R1A
200696_s_at,chr9,124030380,GSN
200697_at,chr10,71075610,HK1
200699_at,chr7,-6500712,KDELR2
200701_at,chr14,-74946643,NPC2
200703_at,chr12,120907660,DYNLL1
200704_at,chr16,-11641578,LITAF
200705_s_at,chr2,207024318,EEF1B2
200707_at,chr19,11546269,PRKCSH
200708_at,chr16,-58741035,GOT2
200709_at,chr20,-1349621,FKBP1A
200710_at,chr17,7123150,ACADVL
200713_s_at,chr20,31407699,MAPRE1
200716_x_at,chr19,49990811,RPL13A
200717_x_at,chr8,-74202874,RPL7
200718_s_at,chr5,-133492082,SKP1
200720_s_at,chr10,-104238986,ACTR1A
200722_s_at,chr11,34073230,CAPRIN1
200726_at,chr12,-111157613,PPP1CC
200728_at,chr2,65454829,ACTR2
200733_s_at,chr6,64281920,PTP4A1
200735_x_at,chr12,-57106211,NACA
200736_s_at,chr3,-49394609,GPX1
200738_s_at,chrX,77359666,PGK1
200740_s_at,chr21,-46225532,SUMO3
200741_s_at,chr1,153963239,RPS27
200743_s_at,chr11,-6633997,TPP1
200745_s_at,chr1,-1716725,GNB1
200747_s_at,chr11,-71713911,NUMA1
200748_s_at,chr11,-61731757,FTH1
200750_s_at,chr12,131356617,RAN
